City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
639,Onguday,RU,50.75,86.15,37.0,98,100,1.74,overcast clouds
640,Poronaysk,RU,49.22,143.12,29.59,66,5,8.05,clear sky
641,Siocon,PH,7.71,122.14,80.35,84,90,1.5,overcast clouds
642,Gushikawa,JP,26.35,127.87,74.43,79,100,9.22,overcast clouds
643,Roma,US,43.21,-75.46,58.87,87,13,4.29,few clouds
644,Mazagao,BR,-0.12,-51.29,78.85,94,100,1.05,overcast clouds
645,Jijiga,ET,9.35,42.80,80.08,13,1,0.92,clear sky
646,Teguldet,RU,57.31,88.17,25.93,86,100,6.51,overcast clouds
647,Soure,BR,-0.72,-48.52,78.93,82,95,8.19,overcast clouds
648,Santiago Del Estero,AR,-27.80,-64.26,71.28,30,78,8.25,broken clouds
649,Totness,SR,5.88,-56.32,76.77,87,100,4.23,overcast clouds
650,Mirik,IN,26.89,88.18,56.73,82,60,1.79,broken clouds
651,Boyabat,TR,41.47,34.77,63.28,51,100,2.84,overcast clouds
652,Nikolsk,RU,53.72,46.07,30.15,66,100,10.63,overcast clouds
653,Sonoita,MX,31.85,-112.83,61.84,41,87,5.5,overcast clouds
654,Te Anau,NZ,-45.42,167.72,48.02,94,100,2.15,overcast clouds
655,Quzhou,CN,28.96,118.87,64.44,69,1,4.12,clear sky
656,Tombouctou,ML,20.00,-3.00,88.0,8,14,11.68,few clouds
657,Ceuta,ES,35.89,-5.31,69.84,67,1,1.39,clear sky
658,Broken Hill,AU,-31.95,141.43,71.73,44,47,13.06,scattered clouds
659,Svidnik,SK,49.31,21.57,56.91,82,92,7.76,overcast clouds
660,Tateyama,JP,34.98,139.87,63.27,80,98,7.31,overcast clouds
661,Abong Mbang,CM,3.98,13.18,87.3,40,100,3.94,overcast clouds
662,Ulladulla,AU,-35.35,150.47,59.85,88,52,8.79,broken clouds
663,Gamba,GA,-2.65,10.00,82.53,72,80,7.2,light rain
664,Farroupilha,BR,-29.23,-51.35,59.09,84,24,5.99,few clouds
665,Kankaanpaa,FI,61.80,22.42,47.16,97,100,3.18,overcast clouds
666,Tshikapa,CD,-6.42,20.80,79.81,71,100,3.06,overcast clouds
667,Vaxjo,SE,56.88,14.81,50.05,93,75,16.11,light intensity drizzle
668,Teruel,ES,40.67,-0.67,59.45,27,73,5.41,broken clouds
669,Sorong,ID,-0.88,131.25,82.26,76,100,1.7,moderate rain
670,Castelo Do Piaui,BR,-5.32,-41.55,80.38,65,98,7.67,overcast clouds
671,Katangli,RU,51.71,143.23,27.9,66,42,14.88,scattered clouds
672,Tezu,IN,27.92,96.17,68.13,68,0,3.36,clear sky
673,Kloulklubed,PW,7.04,134.26,77.5,69,78,5.28,broken clouds
674,Mazeikiai,LT,56.32,22.33,45.64,76,100,11.97,overcast clouds
675,Lima,PE,-12.04,-77.03,60.91,85,100,5.75,overcast clouds
676,Karlstad,SE,59.38,13.50,46.96,87,75,11.5,broken clouds
677,Priamurskiy,RU,48.52,134.90,28.81,72,4,7.52,clear sky
678,Morondava,MG,-20.28,44.28,83.66,64,83,9.06,broken clouds
679,Severo-Yeniseyskiy,RU,60.37,93.04,21.25,94,100,8.63,light snow
680,Mangrol,IN,21.12,70.12,84.78,50,42,12.1,scattered clouds
681,Oriximina,BR,-1.77,-55.87,74.61,94,100,3.02,light rain
682,Veraval,IN,20.90,70.37,84.79,50,70,10.09,broken clouds
683,Mbamba,NG,9.98,13.10,96.15,18,45,1.74,scattered clouds
684,Anadyr,RU,64.75,177.48,30.49,92,100,6.06,overcast clouds
685,Moron,AR,-34.65,-58.62,67.01,73,42,10.67,scattered clouds
686,Dewa,IN,27.03,81.17,86.0,47,70,1.92,broken clouds
687,Praia Da Vitoria,PT,38.73,-27.07,66.45,77,40,15.17,scattered clouds
688,Kajaani,FI,64.23,27.73,41.05,93,100,9.22,overcast clouds
689,Spassk,RU,52.75,87.75,28.35,89,100,1.36,overcast clouds
690,Baft,IR,29.23,56.61,59.0,22,0,13.35,clear sky
691,Saint-Joseph,RE,-21.37,55.62,77.38,74,64,7.47,broken clouds
692,Lucapa,AO,-8.42,20.74,78.12,69,89,5.41,light rain
693,Santa Vitoria Do Palmar,BR,-33.52,-53.37,63.21,64,0,10.89,clear sky
694,Sibu,MY,2.30,111.82,75.51,100,40,0.0,scattered clouds
695,Thinadhoo,MV,0.53,72.93,82.0,77,20,16.64,few clouds
696,Sibolga,ID,1.74,98.78,79.11,79,100,1.16,overcast clouds
697,Liberia,LR,6.50,-9.50,85.93,61,92,2.66,overcast clouds
698,Bunia,CD,1.57,30.25,78.26,55,96,4.03,light rain
699,Koygorodok,RU,60.45,51.00,31.95,82,100,6.87,overcast clouds
700,Teya,RU,60.38,92.63,24.06,92,100,7.02,overcast clouds
701,Woodward,US,36.43,-99.39,42.96,75,0,8.05,clear sky
