City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
418,Sroda Wielkopolska,PL,51.06,scattered clouds,52.23,17.28,Hotel Restauracja Wielkopolanka
422,Fukue,JP,62.42,clear sky,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
424,Kabinda,CD,69.01,overcast clouds,-6.13,24.48,Village Mianda Mutole
425,Santa Maria,BR,60.51,broken clouds,-29.68,-53.81,Hotel Morotin
426,Punta Alta,AR,68.27,overcast clouds,-38.88,-62.07,Center Hotel Punta Alta
429,Korem,ET,66.67,clear sky,12.51,39.52,Lakomeliza Hotel
431,Guadalupe Y Calvo,MX,42.15,clear sky,26.1,-106.97,Hotel Pizarro
434,Houma,US,70.0,mist,29.6,-90.72,Courtyard by Marriott Houma
435,Zaoyang,CN,66.25,scattered clouds,32.13,112.75,Shanghai Hotel
436,Hun,LY,69.96,clear sky,29.13,15.95,Alrwasi Hotel
441,Pombia,IT,61.11,clear sky,45.65,8.63,Albergo Fontana
443,Kopashnovo,UA,49.14,light rain,48.22,23.48,Sadyba Verkhovynka
445,Fortuna,US,44.94,broken clouds,40.6,-124.16,Super 8 by Wyndham Fortuna
450,Mildura,AU,67.06,scattered clouds,-34.2,142.15,Mercure Hotel Mildura
452,Burnie,AU,58.95,scattered clouds,-41.07,145.92,Beachfront Voyager Motor Inn
455,Cromarty,GB,49.71,moderate rain,57.68,-4.03,The Factor's House
459,Sarkand,KZ,52.34,scattered clouds,45.41,79.92,Гостиница Сарканд
465,Hami,CN,48.85,overcast clouds,42.8,93.45,Laoyutang Resort
470,Siderno,IT,68.5,scattered clouds,38.28,16.3,Grand Hotel President
473,Flinders,AU,62.06,scattered clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
474,Boralday,KZ,51.66,smoke,43.36,76.86,Burunday Oteli
478,Dragor,DK,55.02,broken clouds,55.59,12.67,Dragør Hotel & Apartments
480,Arica,CL,61.03,overcast clouds,-18.48,-70.3,Americano
482,Dunedin,NZ,55.8,broken clouds,-45.87,170.5,Scenic Hotel Southern Cross
487,Balkanabat,TM,52.02,clear sky,39.51,54.37,Nebitchi Hotel
489,Blois,FR,60.01,overcast clouds,47.58,1.33,Appart'City Blois - Appart Hôtel
490,Batemans Bay,AU,65.1,scattered clouds,-35.72,150.18,Batemans Bay Marina Resort
494,General Pico,AR,66.52,clear sky,-35.66,-63.76,Euskadi Hotel
495,Paita,PE,62.31,scattered clouds,-5.09,-81.11,Hotel Náutico de Paita
497,Saint-Denis,FR,59.85,overcast clouds,48.92,2.33,B&B Hotel Paris Saint-Denis Pleyel
500,Sete,FR,66.06,clear sky,43.4,3.7,Hotel de Paris Sète
502,Olavarria,AR,60.03,broken clouds,-36.89,-60.32,Hotel Santa Rosa
506,Lillesand,NO,51.89,few clouds,58.25,8.38,Lillesand Hotel Norway
507,Hualmay,PE,61.72,scattered clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
